reference,segment,nextclade,version_tag
monkeypox,ON563414.2,nextstrain/mpox/clade-iib,2024-04-19--07-50-39Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_HA,nextstrain/flu/h1n1pdm/ha/MW626062,2024-07-03--08-29-55Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_NA,nextstrain/flu/h1n1pdm/na/MW626056,2024-07-03--08-29-55Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_PA,nextstrain/flu/h1n1pdm/pa,2024-06-04--16-27-23Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_MP,nextstrain/flu/h1n1pdm/mp,2024-06-04--16-27-23Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_NP,nextstrain/flu/h1n1pdm/np,2024-06-04--16-27-23Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_NS,nextstrain/flu/h1n1pdm/ns,2024-06-04--16-27-23Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_PB1,nextstrain/flu/h1n1pdm/pb1,2024-06-04--16-27-23Z
infl_a_h1n1_2022,A__WISCONSIN__67__2022__H1N1_PB2,nextstrain/flu/h1n1pdm/pb2,2024-06-04--16-27-23Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_HA,nextstrain/flu/h3n2/ha/EPI1857216,2024-08-08--05-08-21Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_NA,nextstrain/flu/h3n2/na/EPI1857215,2024-04-19--07-50-39Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_PB1,nextstrain/flu/h3n2/pb1,2024-06-04--16-27-23Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_PB2,nextstrain/flu/h3n2/pb2,2024-06-04--16-27-23Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_NP,nextstrain/flu/h3n2/np,2024-06-04--16-27-23Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_NS,nextstrain/flu/h3n2/ns,2024-06-04--16-27-23Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_MP,nextstrain/flu/h3n2/mp,2024-06-04--16-27-23Z
infl_a_h3n2_2021,A__DARWIN__6__2021__H3N2_PA,nextstrain/flu/h3n2/pa,2024-06-04--16-27-23Z
infl_b_victoria_2021,B__AUSTRIA__1359417__2021__VICTORIA_HA,nextstrain/flu/vic/ha/KX058884,2024-04-19--07-50-39Z
infl_b_victoria_2021,B__AUSTRIA__1359417__2021__VICTORIA_NA,nextstrain/flu/vic/na/CY073894,2024-04-19--07-50-39Z
infl_b_yamagata_2013,B__PHUKET__3073__2013__YAMAGATA_HA,nextstrain/flu/yam/ha/JN993010,2024-01-30--16-34-55Z
rsv_a_2017,hRSV__A__England__397__2017:EPI_ISL_412866:2017-01-01,nextstrain/rsv/a/EPI_ISL_412866,2024-08-01--22-31-31Z
rsv_b_2019,hRSV__B__Australia__VIC-RCH056__2019:EPI_ISL_1653999:2019-03-04,nextstrain/rsv/b/EPI_ISL_1653999,2024-08-01--22-31-31Z
sars_cov_2,NC_045512.2,nextstrain/sars-cov-2/wuhan-hu-1/orfs,2024-09-25--21-50-30Z
